epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
181,3953.16,1.64891,0.96931,0.92624,0.68607,0.40183,0.44234,0.17822,2.54039,1.16426,1.37377,0.000218,0.000218,0.000218
182,3971.96,1.67534,0.99323,0.92963,0.68602,0.41553,0.44639,0.17528,2.56437,1.27831,1.40801,0.0002081,0.0002081,0.0002081
183,3991.26,1.77283,1.06598,0.918,0.68056,0.3794,0.43752,0.18046,2.58082,1.21481,1.45093,0.0001982,0.0001982,0.0001982
184,4010.44,1.67187,1.00147,0.9172,0.67467,0.42466,0.45528,0.18443,2.54882,1.15668,1.40373,0.0001883,0.0001883,0.0001883
185,4030.41,1.67225,0.992,0.92552,0.71629,0.41503,0.45854,0.18081,2.56963,1.20389,1.42027,0.0001784,0.0001784,0.0001784
186,4048.63,1.56305,0.91485,0.9174,0.66838,0.42922,0.45472,0.18296,2.52483,1.15304,1.39844,0.0001685,0.0001685,0.0001685
187,4067.99,1.71742,0.99694,0.92258,0.61349,0.42762,0.44535,0.18048,2.56782,1.20939,1.43913,0.0001586,0.0001586,0.0001586
188,4086.94,1.69684,1.02373,0.92341,0.66073,0.39129,0.4436,0.17926,2.55462,1.14699,1.41575,0.0001487,0.0001487,0.0001487
189,4105.96,1.66282,0.97326,0.91607,0.63106,0.44292,0.45496,0.18305,2.57798,1.20397,1.41798,0.0001388,0.0001388,0.0001388
190,4124.74,1.66202,0.96806,0.91861,0.63517,0.42928,0.44971,0.18134,2.55302,1.21619,1.41671,0.0001289,0.0001289,0.0001289
191,4146.07,1.55004,0.86234,0.90696,0.6539,0.40548,0.43859,0.17659,2.5833,1.22728,1.41175,0.000119,0.000119,0.000119
192,4163.32,1.53115,0.85991,0.92187,0.64246,0.40183,0.42888,0.17353,2.64918,1.27046,1.45347,0.0001091,0.0001091,0.0001091
193,4181.48,1.57584,0.8589,0.91973,0.6695,0.39726,0.4245,0.1666,2.68694,1.24955,1.51547,9.92e-05,9.92e-05,9.92e-05
194,4198.77,1.53319,0.83573,0.90821,0.69161,0.41096,0.42697,0.16983,2.65768,1.24186,1.50724,8.93e-05,8.93e-05,8.93e-05
195,4216.15,1.52742,0.84971,0.92185,0.64985,0.40639,0.43255,0.17309,2.68016,1.24096,1.46688,7.94e-05,7.94e-05,7.94e-05
196,4233.43,1.52477,0.83526,0.90832,0.66592,0.379,0.42309,0.16979,2.61678,1.25119,1.4684,6.95e-05,6.95e-05,6.95e-05
197,4250.66,1.47925,0.81008,0.91001,0.70317,0.37443,0.42968,0.17247,2.615,1.2872,1.4701,5.96e-05,5.96e-05,5.96e-05
198,4267.12,1.54649,0.82908,0.89793,0.7227,0.39269,0.44513,0.17918,2.61878,1.26338,1.46391,4.97e-05,4.97e-05,4.97e-05
199,4284.56,1.53525,0.83526,0.90103,0.71618,0.39726,0.44829,0.18053,2.64028,1.28152,1.46685,3.98e-05,3.98e-05,3.98e-05
200,4301.18,1.47657,0.79042,0.90432,0.69853,0.39726,0.44699,0.1787,2.6357,1.27938,1.47602,2.99e-05,2.99e-05,2.99e-05
