epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1238.97,2.21938,1.534,1.05057,0.44666,0.34703,0.33546,0.12364,1.9456,2.14009,1.22082,0.0015941,0.0015941,0.0015941
43,1257.89,2.17594,1.51109,1.04334,0.49502,0.34703,0.34174,0.12917,2.16567,1.45325,1.16045,0.0015842,0.0015842,0.0015842
44,1277.61,2.09335,1.49415,1.03597,0.59038,0.35616,0.39038,0.15403,2.19427,1.47431,1.21325,0.0015743,0.0015743,0.0015743
45,1296.53,2.10902,1.46812,1.05449,0.5441,0.33333,0.36501,0.15008,1.99997,1.61486,1.12817,0.0015644,0.0015644,0.0015644
46,1315.85,2.13866,1.48207,1.02736,0.63113,0.35616,0.39659,0.16302,2.28746,1.5968,1.20165,0.0015545,0.0015545,0.0015545
47,1334.81,2.12948,1.48152,1.01044,0.5022,0.35616,0.35935,0.14117,1.94294,1.47224,1.10016,0.0015446,0.0015446,0.0015446
48,1354.28,2.17582,1.49845,1.04886,0.55077,0.34703,0.36838,0.14553,2.31252,2.43142,1.37801,0.0015347,0.0015347,0.0015347
49,1373.59,2.11454,1.44414,1.03261,0.47521,0.3653,0.36521,0.13727,1.87268,1.95572,1.15773,0.0015248,0.0015248,0.0015248
50,1392.5,2.11618,1.41341,1.01519,0.57212,0.34703,0.37221,0.13252,2.06569,1.71681,1.17537,0.0015149,0.0015149,0.0015149
51,1410.2,2.15405,1.45577,1.01099,0.49444,0.36986,0.36113,0.13831,2.02078,1.37455,1.13864,0.001505,0.001505,0.001505
52,1431.11,2.12143,1.44761,1.02507,0.55362,0.3653,0.39697,0.14561,2.24555,1.56536,1.2736,0.0014951,0.0014951,0.0014951
53,1449.01,2.1416,1.49814,1.02737,0.70385,0.34247,0.3951,0.15004,2.00573,1.38591,1.20963,0.0014852,0.0014852,0.0014852
54,1476.77,2.08324,1.38732,1.01304,0.53319,0.39116,0.39301,0.14813,2.22299,1.42504,1.22057,0.0014753,0.0014753,0.0014753
55,1505.32,2.08515,1.41113,1.04044,0.62559,0.34334,0.3807,0.15116,1.93428,1.57056,1.13299,0.0014654,0.0014654,0.0014654
56,1524.06,2.09478,1.42238,1.01315,0.6034,0.3242,0.35435,0.13111,2.16248,1.48764,1.22746,0.0014555,0.0014555,0.0014555
57,1543.03,2.14622,1.44378,1.01998,0.61411,0.3516,0.3721,0.15203,1.87552,1.28193,1.11317,0.0014456,0.0014456,0.0014456
58,1561.74,2.12408,1.40414,1.02006,0.67632,0.33333,0.39291,0.14314,1.79341,1.39652,1.07748,0.0014357,0.0014357,0.0014357
59,1580.86,2.07583,1.38486,1.012,0.51578,0.3379,0.35218,0.13661,1.9648,1.34719,1.11819,0.0014258,0.0014258,0.0014258
60,1600.09,2.06367,1.41116,1.02809,0.48574,0.34703,0.3398,0.14081,2.11931,2.21807,1.20215,0.0014159,0.0014159,0.0014159
61,1628.15,2.12495,1.45082,1.01086,0.5721,0.3242,0.3279,0.12226,2.39139,1.84037,1.24912,0.001406,0.001406,0.001406
62,1656.24,1.99435,1.36039,1.02684,0.49027,0.3516,0.35,0.1412,1.93505,1.6647,1.17916,0.0013961,0.0013961,0.0013961
63,1674.4,2.02094,1.34205,1.00504,0.60379,0.36986,0.39652,0.15487,1.98112,1.95269,1.14518,0.0013862,0.0013862,0.0013862
64,1694.11,2.0435,1.35565,1.01763,0.62043,0.37443,0.41566,0.1669,1.92693,1.422,1.13672,0.0013763,0.0013763,0.0013763
65,1712.83,2.06126,1.363,1.01382,0.61649,0.36702,0.387,0.159,1.92502,1.4938,1.11183,0.0013664,0.0013664,0.0013664
66,1732.2,2.0754,1.39199,1.01206,0.56633,0.38356,0.39265,0.14877,1.97879,1.26573,1.13744,0.0013565,0.0013565,0.0013565
67,1750.93,2.01139,1.32239,0.99205,0.55358,0.36073,0.37939,0.14956,2.12181,1.36877,1.18033,0.0013466,0.0013466,0.0013466
68,1770.49,2.04129,1.36272,1.00878,0.55309,0.38993,0.39816,0.15606,2.28605,1.40709,1.28107,0.0013367,0.0013367,0.0013367
69,1793.17,2.04166,1.31342,0.98031,0.48842,0.39726,0.37997,0.13955,2.43687,1.89198,1.2831,0.0013268,0.0013268,0.0013268
70,1811.8,2.07449,1.36349,0.99759,0.65681,0.34703,0.39587,0.16081,2.1882,1.42591,1.19593,0.0013169,0.0013169,0.0013169
71,1830.52,2.01587,1.3065,0.98787,0.67973,0.31981,0.39102,0.15702,2.32858,1.56078,1.25259,0.001307,0.001307,0.001307
72,1849.82,1.94886,1.28057,1.00079,0.66004,0.34703,0.40298,0.16131,2.2629,1.48241,1.19501,0.0012971,0.0012971,0.0012971
73,1877.69,1.99451,1.3631,1.01552,0.56617,0.39927,0.40895,0.15858,2.32159,1.50826,1.25201,0.0012872,0.0012872,0.0012872
74,1897.03,1.9608,1.29046,0.98553,0.64209,0.36045,0.40331,0.15254,2.4058,1.29862,1.4131,0.0012773,0.0012773,0.0012773
75,1915.21,2.02746,1.32289,0.97923,0.72108,0.34247,0.40458,0.15548,2.58839,1.4831,1.39087,0.0012674,0.0012674,0.0012674
76,1934.56,2.02328,1.30761,0.9963,0.61932,0.379,0.41778,0.165,2.07486,1.34351,1.13115,0.0012575,0.0012575,0.0012575
77,1953.89,1.96647,1.27433,1.00032,0.59404,0.4009,0.42288,0.16432,2.29641,1.47764,1.2952,0.0012476,0.0012476,0.0012476
